"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Israel","1995","Male","Not applicable","Number","51174"
"Israel","1995","All genders","Not applicable","Number","99909"
"Israel","1995","Female","Not applicable","Number","48735"
"Israel","1994","Female","Not applicable","Number","47626"
"Israel","1994","All genders","Not applicable","Number","97739"
"Israel","1994","Male","Not applicable","Number","50113"
"Israel","1993","All genders","Not applicable","Number","95579"
"Israel","1993","Male","Not applicable","Number","49041"
"Israel","1993","Female","Not applicable","Number","46538"
"Israel","1992","Female","Not applicable","Number","45734"
"Israel","1992","Male","Not applicable","Number","48160"
"Israel","1992","All genders","Not applicable","Number","93894"
"Israel","1991","All genders","Not applicable","Number","93014"
"Israel","1991","Male","Not applicable","Number","47627"
"Israel","1991","Female","Not applicable","Number","45387"
"Israel","1990","Female","Not applicable","Number","44909"
"Israel","1990","Male","Not applicable","Number","47178"
"Israel","1990","All genders","Not applicable","Number","92087"
"Israel","1989","All genders","Not applicable","Number","91006"
"Israel","1989","Male","Not applicable","Number","46631"
"Israel","1989","Female","Not applicable","Number","44375"
"Israel","1988","Male","Not applicable","Number","46070"
"Israel","1988","Female","Not applicable","Number","43855"
"Israel","1988","All genders","Not applicable","Number","89925"
"Israel","1987","Female","Not applicable","Number","43400"
"Israel","1987","All genders","Not applicable","Number","88970"
"Israel","1987","Male","Not applicable","Number","45570"
"Israel","1986","Male","Not applicable","Number","45078"
"Israel","1986","All genders","Not applicable","Number","88018"
"Israel","1986","Female","Not applicable","Number","42940"
"Israel","1985","Female","Not applicable","Number","42001"
"Israel","1985","All genders","Not applicable","Number","86104"
"Israel","1985","Male","Not applicable","Number","44103"
"Israel","1984","Female","Not applicable","Number","40496"
"Israel","1984","Male","Not applicable","Number","42558"
"Israel","1984","All genders","Not applicable","Number","83054"
"Israel","1983","All genders","Not applicable","Number","79589"
"Israel","1983","Male","Not applicable","Number","40805"
"Israel","1983","Female","Not applicable","Number","38784"
"Israel","1982","Male","Not applicable","Number","39031"
"Israel","1982","Female","Not applicable","Number","37040"
"Israel","1982","All genders","Not applicable","Number","76071"
"Israel","1981","All genders","Not applicable","Number","72227"
"Israel","1981","Female","Not applicable","Number","35136"
"Israel","1981","Male","Not applicable","Number","37091"
"Israel","1980","Female","Not applicable","Number","33746"
"Israel","1980","All genders","Not applicable","Number","69413"
"Israel","1980","Male","Not applicable","Number","35667"
"Israel","1979","Male","Not applicable","Number","34877"
"Israel","1979","All genders","Not applicable","Number","67826"
"Israel","1979","Female","Not applicable","Number","32949"
"Israel","1978","Female","Not applicable","Number","32369"
"Israel","1978","Male","Not applicable","Number","34315"
"Israel","1978","All genders","Not applicable","Number","66684"
"Israel","1977","All genders","Not applicable","Number","65490"
"Israel","1977","Male","Not applicable","Number","33715"
"Israel","1977","Female","Not applicable","Number","31775"
"Israel","1976","Female","Not applicable","Number","31299"
"Israel","1976","Male","Not applicable","Number","33216"
"Israel","1976","All genders","Not applicable","Number","64515"
"Israel","1975","All genders","Not applicable","Number","63464"
"Israel","1975","Male","Not applicable","Number","32667"
"Israel","1975","Female","Not applicable","Number","30797"
"Italy","2012","Male","Not applicable","Number","291043"
"Italy","2012","Female","Not applicable","Number","275094"
"Italy","2012","All genders","Not applicable","Number","566137"
"Italy","2011","Male","Not applicable","Number","288752"
"Italy","2011","Female","Not applicable","Number","272561"
"Italy","2011","All genders","Not applicable","Number","561313"
"Italy","2010","All genders","Not applicable","Number","554230"
"Italy","2010","Female","Not applicable","Number","269059"
"Italy","2010","Male","Not applicable","Number","285171"
"Italy","2009","All genders","Not applicable","Number","550451"
"Italy","2009","Female","Not applicable","Number","267098"
"Italy","2009","Male","Not applicable","Number","283353"
"Italy","2008","Male","Not applicable","Number","283336"
"Italy","2008","Female","Not applicable","Number","266918"
"Italy","2008","All genders","Not applicable","Number","550254"
"Italy","2007","Male","Not applicable","Number","284149"
"Italy","2007","Female","Not applicable","Number","267845"
"Italy","2007","All genders","Not applicable","Number","551994"
"Italy","2006","All genders","Not applicable","Number","555602"
"Italy","2006","Female","Not applicable","Number","269925"
"Italy","2006","Male","Not applicable","Number","285677"
"Italy","2005","Male","Not applicable","Number","288645"
"Italy","2005","Female","Not applicable","Number","273243"
"Italy","2005","All genders","Not applicable","Number","561888"
"Italy","2004","Female","Not applicable","Number","273542"
"Italy","2004","Male","Not applicable","Number","288695"
"Italy","2004","All genders","Not applicable","Number","562237"
"Italy","2003","All genders","Not applicable","Number","557794"
"Italy","2003","Male","Not applicable","Number","286421"
"Italy","2003","Female","Not applicable","Number","271373"
"Italy","2002","Female","Not applicable","Number","269194"
"Italy","2002","Male","Not applicable","Number","284196"
"Italy","2002","All genders","Not applicable","Number","553390"
"Italy","2001","All genders","Not applicable","Number","551641"
"Italy","2001","Female","Not applicable","Number","268337"
"Italy","2001","Male","Not applicable","Number","283304"
"Italy","2000","Male","Not applicable","Number","283332"
"Italy","2000","Female","Not applicable","Number","268553"
"Italy","2000","All genders","Not applicable","Number","551885"
"Italy","1999","All genders","Not applicable","Number","554400"
"Italy","1999","Female","Not applicable","Number","269810"
"Italy","1999","Male","Not applicable","Number","284590"
"Italy","1998","All genders","Not applicable","Number","559179"
"Italy","1998","Female","Not applicable","Number","272113"
"Italy","1998","Male","Not applicable","Number","287066"
"Italy","1997","Male","Not applicable","Number","290413"
"Italy","1997","Female","Not applicable","Number","275219"
"Italy","1997","All genders","Not applicable","Number","565632"
"Italy","1996","Male","Not applicable","Number","294220"
"Italy","1996","Female","Not applicable","Number","278721"
"Italy","1996","All genders","Not applicable","Number","572941"
"Italy","1995","All genders","Not applicable","Number","581294"
"Italy","1995","Female","Not applicable","Number","282794"
"Italy","1995","Male","Not applicable","Number","298500"
"Italy","1994","Male","Not applicable","Number","305465"
"Italy","1994","Female","Not applicable","Number","289756"
"Italy","1994","All genders","Not applicable","Number","595221"
"Italy","1993","All genders","Not applicable","Number","614645"
"Italy","1993","Male","Not applicable","Number","315112"
"Italy","1993","Female","Not applicable","Number","299533"
"Italy","1992","Female","Not applicable","Number","310954"
"Italy","1992","Male","Not applicable","Number","326502"
"Italy","1992","All genders","Not applicable","Number","637456"
"Italy","1991","All genders","Not applicable","Number","661641"
"Italy","1991","Male","Not applicable","Number","338663"
"Italy","1991","Female","Not applicable","Number","322978"
"Italy","1990","Female","Not applicable","Number","335401"
"Italy","1990","All genders","Not applicable","Number","686659"
"Italy","1990","Male","Not applicable","Number","351258"
"Italy","1989","All genders","Not applicable","Number","717317"
"Italy","1989","Female","Not applicable","Number","350361"
"Italy","1989","Male","Not applicable","Number","366956"
"Italy","1988","Female","Not applicable","Number","367268"
"Italy","1988","Male","Not applicable","Number","385046"
"Italy","1988","All genders","Not applicable","Number","752314"
"Italy","1987","All genders","Not applicable","Number","787435"
"Italy","1987","Male","Not applicable","Number","403215"
"Italy","1987","Female","Not applicable","Number","384220"
"Italy","1986","Female","Not applicable","Number","400685"
"Italy","1986","Male","Not applicable","Number","420771"
"Italy","1986","All genders","Not applicable","Number","821456"
"Italy","1985","Male","Not applicable","Number","438364"
"Italy","1985","Female","Not applicable","Number","417154"
"Italy","1985","All genders","Not applicable","Number","855518"
"Italy","1984","All genders","Not applicable","Number","879153"
"Italy","1984","Female","Not applicable","Number","428751"
"Italy","1984","Male","Not applicable","Number","450402"
"Italy","1983","Female","Not applicable","Number","435720"
"Italy","1983","All genders","Not applicable","Number","892992"
"Italy","1983","Male","Not applicable","Number","457272"
"Italy","1982","Male","Not applicable","Number","461928"
"Italy","1982","All genders","Not applicable","Number","902472"
"Italy","1982","Female","Not applicable","Number","440544"
"Italy","1981","Female","Not applicable","Number","444372"
"Italy","1981","All genders","Not applicable","Number","910086"
"Italy","1981","Male","Not applicable","Number","465714"
"Italy","1980","All genders","Not applicable","Number","913688"
"Italy","1980","Female","Not applicable","Number","446592"
"Italy","1980","Male","Not applicable","Number","467096"
"Italy","1979","Male","Not applicable","Number","468627"
"Italy","1979","Female","Not applicable","Number","448332"
"Italy","1979","All genders","Not applicable","Number","916959"
"Italy","1978","All genders","Not applicable","Number","920222"
"Italy","1978","Male","Not applicable","Number","470436"
"Italy","1978","Female","Not applicable","Number","449786"
"Italy","1977","Female","Not applicable","Number","450549"
"Italy","1977","All genders","Not applicable","Number","922296"
"Italy","1977","Male","Not applicable","Number","471747"
"Italy","1976","Male","Not applicable","Number","472919"
"Italy","1976","All genders","Not applicable","Number","924023"
"Italy","1976","Female","Not applicable","Number","451104"
"Italy","1975","Female","Not applicable","Number","452141"
"Italy","1975","All genders","Not applicable","Number","926610"
"Italy","1975","Male","Not applicable","Number","474469"
"Jamaica","2004","Male","Not applicable","Number","28299"
"Jamaica","2004","Female","Not applicable","Number","27321"
"Jamaica","2004","All genders","Not applicable","Number","55620"
"Jamaica","2003","Female","Not applicable","Number","27332"
"Jamaica","2003","Male","Not applicable","Number","28197"
"Jamaica","2003","All genders","Not applicable","Number","55529"
"Jamaica","2002","All genders","Not applicable","Number","55362"
"Jamaica","2002","Female","Not applicable","Number","27345"
"Jamaica","2002","Male","Not applicable","Number","28017"
"Jamaica","2001","Male","Not applicable","Number","27804"
"Jamaica","2001","Female","Not applicable","Number","27423"
"Jamaica","2001","All genders","Not applicable","Number","55227"
"Jamaica","2000","Male","Not applicable","Number","27459"
"Jamaica","2000","Female","Not applicable","Number","27177"
"Jamaica","2000","All genders","Not applicable","Number","54636"
"Jamaica","1999","All genders","Not applicable","Number","54344"
"Jamaica","1999","Male","Not applicable","Number","27282"
"Jamaica","1999","Female","Not applicable","Number","27062"
"Jamaica","1998","All genders","Not applicable","Number","54269"
"Jamaica","1998","Female","Not applicable","Number","27048"
"Jamaica","1998","Male","Not applicable","Number","27221"
"Jamaica","1997","Male","Not applicable","Number","27279"
"Jamaica","1997","Female","Not applicable","Number","27143"
"Jamaica","1997","All genders","Not applicable","Number","54422"
"Jamaica","1996","Female","Not applicable","Number","27399"
"Jamaica","1996","Male","Not applicable","Number","27524"
"Jamaica","1996","All genders","Not applicable","Number","54923"
"Jamaica","1995","All genders","Not applicable","Number","54796"
"Jamaica","1995","Male","Not applicable","Number","27450"
"Jamaica","1995","Female","Not applicable","Number","27346"
"Jamaica","1994","Female","Not applicable","Number","27040"
"Jamaica","1994","All genders","Not applicable","Number","54171"
"Jamaica","1994","Male","Not applicable","Number","27131"
"Jamaica","1993","Male","Not applicable","Number","26754"
"Jamaica","1993","All genders","Not applicable","Number","53430"
"Jamaica","1993","Female","Not applicable","Number","26676"
"Jamaica","1992","All genders","Not applicable","Number","52727"
"Jamaica","1992","Male","Not applicable","Number","26403"
"Jamaica","1992","Female","Not applicable","Number","26324"
"Jamaica","1991","Female","Not applicable","Number","25897"
"Jamaica","1991","Male","Not applicable","Number","25985"
"Jamaica","1991","All genders","Not applicable","Number","51882"
"Jamaica","1990","Male","Not applicable","Number","25835"
"Jamaica","1990","Female","Not applicable","Number","25692"
"Jamaica","1990","All genders","Not applicable","Number","51527"
"Jamaica","1989","All genders","Not applicable","Number","52230"
"Jamaica","1989","Male","Not applicable","Number","26249"
"Jamaica","1989","Female","Not applicable","Number","25981"
"Jamaica","1988","Female","Not applicable","Number","26527"
"Jamaica","1988","Male","Not applicable","Number","26955"
"Jamaica","1988","All genders","Not applicable","Number","53482"
"Jamaica","1987","All genders","Not applicable","Number","54976"
"Jamaica","1987","Female","Not applicable","Number","27188"
"Jamaica","1987","Male","Not applicable","Number","27788"
"Jamaica","1986","Male","Not applicable","Number","28845"
"Jamaica","1986","Female","Not applicable","Number","28085"
"Jamaica","1986","All genders","Not applicable","Number","56930"
"Jamaica","1985","All genders","Not applicable","Number","57808"
"Jamaica","1985","Male","Not applicable","Number","29312"
"Jamaica","1985","Female","Not applicable","Number","28496"
"Jamaica","1984","Female","Not applicable","Number","28598"
"Jamaica","1984","All genders","Not applicable","Number","58034"
"Jamaica","1984","Male","Not applicable","Number","29436"
"Jamaica","1983","Male","Not applicable","Number","29424"
"Jamaica","1983","All genders","Not applicable","Number","58011"
"Jamaica","1983","Female","Not applicable","Number","28587"
"Jamaica","1982","Female","Not applicable","Number","28617"
"Jamaica","1982","All genders","Not applicable","Number","58100"
"Jamaica","1982","Male","Not applicable","Number","29483"
"Jamaica","1981","Male","Not applicable","Number","29620"
"Jamaica","1981","All genders","Not applicable","Number","58298"
"Jamaica","1981","Female","Not applicable","Number","28678"
"Jamaica","1980","Female","Not applicable","Number","28986"
"Jamaica","1980","Male","Not applicable","Number","29783"
"Jamaica","1980","All genders","Not applicable","Number","58769"
"Jamaica","1979","All genders","Not applicable","Number","59156"
"Jamaica","1979","Male","Not applicable","Number","29851"
"Jamaica","1979","Female","Not applicable","Number","29305"
"Jamaica","1978","Female","Not applicable","Number","29700"
"Jamaica","1978","All genders","Not applicable","Number","59728"
"Jamaica","1978","Male","Not applicable","Number","30028"
"Jamaica","1977","Male","Not applicable","Number","30452"
"Jamaica","1977","All genders","Not applicable","Number","60666"
"Jamaica","1977","Female","Not applicable","Number","30214"
"Jamaica","1976","Female","Not applicable","Number","30799"
"Jamaica","1976","Male","Not applicable","Number","31067"
"Jamaica","1976","All genders","Not applicable","Number","61866"
"Jamaica","1975","All genders","Not applicable","Number","60862"
"Jamaica","1975","Female","Not applicable","Number","30324"
"Jamaica","1975","Male","Not applicable","Number","30538"
"Japan","2012","Male","Not applicable","Number","596575"
"Japan","2012","All genders","Not applicable","Number","1164503"
"Japan","2012","Female","Not applicable","Number","567928"
"Japan","2011","Female","Not applicable","Number","576255"
"Japan","2011","All genders","Not applicable","Number","1182053"
"Japan","2011","Male","Not applicable","Number","605798"
"Japan","2010","Female","Not applicable","Number","581054"
"Japan","2010","Male","Not applicable","Number","610604"
"Japan","2010","All genders","Not applicable","Number","1191658"
"Japan","2009","All genders","Not applicable","Number","1190579"
"Japan","2009","Male","Not applicable","Number","609785"
"Japan","2009","Female","Not applicable","Number","580794"
"Japan","2008","Male","Not applicable","Number","607867"
"Japan","2008","All genders","Not applicable","Number","1187257"
"Japan","2008","Female","Not applicable","Number","579390"
"Japan","2007","Female","Not applicable","Number","579043"
"Japan","2007","All genders","Not applicable","Number","1186522"
"Japan","2007","Male","Not applicable","Number","607479"
"Japan","2006","Male","Not applicable","Number","607828"
"Japan","2006","All genders","Not applicable","Number","1186754"
"Japan","2006","Female","Not applicable","Number","578926"
"Japan","2005","All genders","Not applicable","Number","1195223"
"Japan","2005","Male","Not applicable","Number","612165"
"Japan","2005","Female","Not applicable","Number","583058"
"Japan","2004","Female","Not applicable","Number","590822"
"Japan","2004","Male","Not applicable","Number","620268"
"Japan","2004","All genders","Not applicable","Number","1211090"
"Japan","2003","All genders","Not applicable","Number","1230721"
"Japan","2003","Female","Not applicable","Number","600408"
"Japan","2003","Male","Not applicable","Number","630313"
"Japan","2002","Male","Not applicable","Number","640746"
"Japan","2002","Female","Not applicable","Number","610284"
"Japan","2002","All genders","Not applicable","Number","1251030"
"Japan","2001","All genders","Not applicable","Number","1272688"
"Japan","2001","Female","Not applicable","Number","620799"
"Japan","2001","Male","Not applicable","Number","651889"
"Japan","2000","Male","Not applicable","Number","666545"
"Japan","2000","Female","Not applicable","Number","634669"
"Japan","2000","All genders","Not applicable","Number","1301214"
"Japan","1999","All genders","Not applicable","Number","1336297"
"Japan","1999","Female","Not applicable","Number","651850"
"Japan","1999","Male","Not applicable","Number","684447"
"Japan","1998","Male","Not applicable","Number","703811"
"Japan","1998","All genders","Not applicable","Number","1374413"
"Japan","1998","Female","Not applicable","Number","670602"
"Japan","1997","All genders","Not applicable","Number","1413668"
"Japan","1997","Female","Not applicable","Number","690067"
"Japan","1997","Male","Not applicable","Number","723601"
"Japan","1996","Male","Not applicable","Number","743971"
"Japan","1996","Female","Not applicable","Number","710580"
"Japan","1996","All genders","Not applicable","Number","1454551"
"Japan","1995","All genders","Not applicable","Number","1496296"
"Japan","1995","Female","Not applicable","Number","730887"
"Japan","1995","Male","Not applicable","Number","765409"
"Japan","1994","Male","Not applicable","Number","785347"
"Japan","1994","All genders","Not applicable","Number","1534353"
"Japan","1994","Female","Not applicable","Number","749006"
"Japan","1993","Female","Not applicable","Number","766688"
"Japan","1993","All genders","Not applicable","Number","1571559"
"Japan","1993","Male","Not applicable","Number","804871"
"Japan","1992","Male","Not applicable","Number","822100"
"Japan","1992","All genders","Not applicable","Number","1604609"
"Japan","1992","Female","Not applicable","Number","782509"
"Japan","1991","Female","Not applicable","Number","793229"
"Japan","1991","All genders","Not applicable","Number","1627058"
"Japan","1991","Male","Not applicable","Number","833829"
"Japan","1990","Female","Not applicable","Number","817526"
"Japan","1990","Male","Not applicable","Number","859562"
"Japan","1990","All genders","Not applicable","Number","1677088"
"Japan","1989","All genders","Not applicable","Number","1760295"
"Japan","1989","Male","Not applicable","Number","902246"
"Japan","1989","Female","Not applicable","Number","858049"
"Japan","1988","Male","Not applicable","Number","947808"
"Japan","1988","All genders","Not applicable","Number","1849172"
"Japan","1988","Female","Not applicable","Number","901364"
"Japan","1987","Female","Not applicable","Number","942339"
"Japan","1987","All genders","Not applicable","Number","1933196"
"Japan","1987","Male","Not applicable","Number","990857"
"Japan","1986","Male","Not applicable","Number","1037529"
"Japan","1986","All genders","Not applicable","Number","2024580"
"Japan","1986","Female","Not applicable","Number","987051"
"Japan","1985","All genders","Not applicable","Number","2060619"
"Japan","1985","Male","Not applicable","Number","1056064"
"Japan","1985","Female","Not applicable","Number","1004555"
"Japan","1984","Female","Not applicable","Number","987623"
"Japan","1984","Male","Not applicable","Number","1038891"
"Japan","1984","All genders","Not applicable","Number","2026514"
"Japan","1983","All genders","Not applicable","Number","1963545"
"Japan","1983","Female","Not applicable","Number","956602"
"Japan","1983","Male","Not applicable","Number","1006943"
"Japan","1982","Male","Not applicable","Number","972687"
"Japan","1982","All genders","Not applicable","Number","1896276"
"Japan","1982","Female","Not applicable","Number","923589"
"Japan","1981","Female","Not applicable","Number","881576"
"Japan","1981","All genders","Not applicable","Number","1810433"
"Japan","1981","Male","Not applicable","Number","928857"
"Japan","1980","Male","Not applicable","Number","898194"
"Japan","1980","All genders","Not applicable","Number","1750738"
"Japan","1980","Female","Not applicable","Number","852544"
"Japan","1979","Female","Not applicable","Number","838767"
"Japan","1979","All genders","Not applicable","Number","1721792"
"Japan","1979","Male","Not applicable","Number","883025"
"Japan","1978","Male","Not applicable","Number","872658"
"Japan","1978","All genders","Not applicable","Number","1702455"
"Japan","1978","Female","Not applicable","Number","829797"
"Japan","1977","All genders","Not applicable","Number","1681068"
"Japan","1977","Female","Not applicable","Number","819840"
"Japan","1977","Male","Not applicable","Number","861228"
"Japan","1976","Male","Not applicable","Number","853653"
"Japan","1976","Female","Not applicable","Number","813734"
"Japan","1976","All genders","Not applicable","Number","1667387"
"Japan","1975","All genders","Not applicable","Number","1645857"
"Japan","1975","Female","Not applicable","Number","803996"
"Japan","1975","Male","Not applicable","Number","841861"
"Jordan","2012","Male","Not applicable","Number","70729"
"Jordan","2012","All genders","Not applicable","Number","139134"
"Jordan","2012","Female","Not applicable","Number","68405"
"Jordan","2011","Female","Not applicable","Number","67760"
"Jordan","2011","Male","Not applicable","Number","69876"
"Jordan","2011","All genders","Not applicable","Number","137636"
"Jordan","2010","All genders","Not applicable","Number","135645"
"Jordan","2010","Male","Not applicable","Number","68897"
"Jordan","2010","Female","Not applicable","Number","66748"
"Jordan","2009","Female","Not applicable","Number","65286"
"Jordan","2009","All genders","Not applicable","Number","132868"
"Jordan","2009","Male","Not applicable","Number","67582"
"Jordan","2008","Male","Not applicable","Number","66197"
"Jordan","2008","Female","Not applicable","Number","63707"
"Jordan","2008","All genders","Not applicable","Number","129904"
"Jordan","2007","All genders","Not applicable","Number","127355"
"Jordan","2007","Female","Not applicable","Number","62321"
"Jordan","2007","Male","Not applicable","Number","65034"
"Jordan","2006","Male","Not applicable","Number","64168"
"Jordan","2006","All genders","Not applicable","Number","125337"
"Jordan","2006","Female","Not applicable","Number","61169"
"Jordan","2005","Female","Not applicable","Number","59594"
"Jordan","2005","All genders","Not applicable","Number","122213"
"Jordan","2005","Male","Not applicable","Number","62619"
"Jordan","2004","Female","Not applicable","Number","58031"
"Jordan","2004","Male","Not applicable","Number","61153"
"Jordan","2004","All genders","Not applicable","Number","119184"
"Jordan","2003","All genders","Not applicable","Number","116812"
"Jordan","2003","Male","Not applicable","Number","60036"
"Jordan","2003","Female","Not applicable","Number","56776"
"Jordan","2002","Female","Not applicable","Number","55892"
"Jordan","2002","Male","Not applicable","Number","59283"
"Jordan","2002","All genders","Not applicable","Number","115175"
"Jordan","2001","Male","Not applicable","Number","58690"
"Jordan","2001","All genders","Not applicable","Number","113915"
"Jordan","2001","Female","Not applicable","Number","55225"
"Jordan","2000","Female","Not applicable","Number","54729"
"Jordan","2000","All genders","Not applicable","Number","113037"
"Jordan","2000","Male","Not applicable","Number","58308"
"Jordan","1999","Male","Not applicable","Number","58461"
"Jordan","1999","All genders","Not applicable","Number","113245"
"Jordan","1999","Female","Not applicable","Number","54784"
"Jordan","1998","All genders","Not applicable","Number","113581"
"Jordan","1998","Female","Not applicable","Number","54944"
"Jordan","1998","Male","Not applicable","Number","58637"
"Jordan","1997","Male","Not applicable","Number","58562"
"Jordan","1997","Female","Not applicable","Number","54970"
"Jordan","1997","All genders","Not applicable","Number","113532"
"Jordan","1996","Female","Not applicable","Number","54972"
"Jordan","1996","Male","Not applicable","Number","58361"
"Jordan","1996","All genders","Not applicable","Number","113333"
"Jordan","1995","All genders","Not applicable","Number","112792"
"Jordan","1995","Female","Not applicable","Number","54603"
"Jordan","1995","Male","Not applicable","Number","58189"
"Jordan","1994","Male","Not applicable","Number","56400"
"Jordan","1994","Female","Not applicable","Number","52764"
"Jordan","1994","All genders","Not applicable","Number","109164"
"Jordan","1993","All genders","Not applicable","Number","104141"
"Jordan","1993","Male","Not applicable","Number","53872"
"Jordan","1993","Female","Not applicable","Number","50269"
"Jordan","1992","Female","Not applicable","Number","47707"
"Jordan","1992","Male","Not applicable","Number","51236"
"Jordan","1992","All genders","Not applicable","Number","98943"
"Jordan","1991","Female","Not applicable","Number","44986"
"Jordan","1991","Male","Not applicable","Number","48377"
"Jordan","1991","All genders","Not applicable","Number","93363"
"Jordan","1990","All genders","Not applicable","Number","88645"
"Jordan","1990","Male","Not applicable","Number","46035"
"Jordan","1990","Female","Not applicable","Number","42610"
"Jordan","1989","Male","Not applicable","Number","44966"
"Jordan","1989","All genders","Not applicable","Number","86119"
"Jordan","1989","Female","Not applicable","Number","41153"
"Jordan","1988","Female","Not applicable","Number","40043"
"Jordan","1988","All genders","Not applicable","Number","84405"
"Jordan","1988","Male","Not applicable","Number","44362"
"Jordan","1987","Male","Not applicable","Number","43662"
"Jordan","1987","Female","Not applicable","Number","38916"
"Jordan","1987","All genders","Not applicable","Number","82578"
"Jordan","1986","Female","Not applicable","Number","37873"
"Jordan","1986","All genders","Not applicable","Number","80832"
"Jordan","1986","Male","Not applicable","Number","42959"
"Jordan","1985","Male","Not applicable","Number","41976"
"Jordan","1985","All genders","Not applicable","Number","78735"
"Jordan","1985","Female","Not applicable","Number","36759"
"Jordan","1984","Female","Not applicable","Number","35212"
"Jordan","1984","All genders","Not applicable","Number","75544"
"Jordan","1984","Male","Not applicable","Number","40332"
"Jordan","1983","All genders","Not applicable","Number","71950"
"Jordan","1983","Female","Not applicable","Number","33559"
"Jordan","1983","Male","Not applicable","Number","38391"
"Jordan","1982","Male","Not applicable","Number","36378"
"Jordan","1982","All genders","Not applicable","Number","68382"
"Jordan","1982","Female","Not applicable","Number","32004"
"Jordan","1981","Female","Not applicable","Number","30460"
"Jordan","1981","Male","Not applicable","Number","34202"
"Jordan","1981","All genders","Not applicable","Number","64662"
"Jordan","1980","All genders","Not applicable","Number","61062"
"Jordan","1980","Male","Not applicable","Number","32201"
"Jordan","1980","Female","Not applicable","Number","28861"
"Jordan","1979","Female","Not applicable","Number","27546"
"Jordan","1979","All genders","Not applicable","Number","58093"
"Jordan","1979","Male","Not applicable","Number","30547"
"Jordan","1978","Male","Not applicable","Number","28970"
"Jordan","1978","Female","Not applicable","Number","26335"
"Jordan","1978","All genders","Not applicable","Number","55305"
"Jordan","1977","Female","Not applicable","Number","25114"
"Jordan","1977","Male","Not applicable","Number","27306"
"Jordan","1977","All genders","Not applicable","Number","52420"
"Jordan","1976","Male","Not applicable","Number","25654"
"Jordan","1976","Female","Not applicable","Number","23951"
"Jordan","1976","All genders","Not applicable","Number","49605"
"Jordan","1975","All genders","Not applicable","Number","47771"
"Jordan","1975","Female","Not applicable","Number","23068"
"Jordan","1975","Male","Not applicable","Number","24703"
"Kazakhstan","2012","All genders","Not applicable","Number","231465"
"Kazakhstan","2012","Female","Not applicable","Number","112727"
"Kazakhstan","2012","Male","Not applicable","Number","118738"
"Kazakhstan","2011","Male","Not applicable","Number","117105"
"Kazakhstan","2011","Female","Not applicable","Number","112125"
"Kazakhstan","2011","All genders","Not applicable","Number","229230"
"Kazakhstan","2010","All genders","Not applicable","Number","225800"
"Kazakhstan","2010","Female","Not applicable","Number","110860"
"Kazakhstan","2010","Male","Not applicable","Number","114940"
"Kazakhstan","2009","Male","Not applicable","Number","115548"
"Kazakhstan","2009","Female","Not applicable","Number","111473"
"Kazakhstan","2009","All genders","Not applicable","Number","227021"
"Kazakhstan","2008","All genders","Not applicable","Number","232745"
"Kazakhstan","2008","Female","Not applicable","Number","113965"
"Kazakhstan","2008","Male","Not applicable","Number","118780"
"Kazakhstan","2007","Male","Not applicable","Number","123433"
"Kazakhstan","2007","Female","Not applicable","Number","117795"
"Kazakhstan","2007","All genders","Not applicable","Number","241228"
"Kazakhstan","2006","All genders","Not applicable","Number","251436"
"Kazakhstan","2006","Female","Not applicable","Number","122547"
"Kazakhstan","2006","Male","Not applicable","Number","128889"
"Kazakhstan","2005","Male","Not applicable","Number","135085"
"Kazakhstan","2005","Female","Not applicable","Number","128118"
"Kazakhstan","2005","All genders","Not applicable","Number","263203"
"Kazakhstan","2004","All genders","Not applicable","Number","274614"
"Kazakhstan","2004","Female","Not applicable","Number","133825"
"Kazakhstan","2004","Male","Not applicable","Number","140789"
"Kazakhstan","2003","Male","Not applicable","Number","145976"
"Kazakhstan","2003","Female","Not applicable","Number","139415"
"Kazakhstan","2003","All genders","Not applicable","Number","285391"
"Kazakhstan","2002","All genders","Not applicable","Number","295949"
"Kazakhstan","2002","Female","Not applicable","Number","144781"
"Kazakhstan","2002","Male","Not applicable","Number","151168"
"Kazakhstan","2001","Male","Not applicable","Number","157118"
"Kazakhstan","2001","Female","Not applicable","Number","150379"
"Kazakhstan","2001","All genders","Not applicable","Number","307497"
"Kazakhstan","2000","All genders","Not applicable","Number","319823"
"Kazakhstan","2000","Female","Not applicable","Number","156794"
"Kazakhstan","2000","Male","Not applicable","Number","163029"
"Kazakhstan","1999","Male","Not applicable","Number","166084"
"Kazakhstan","1999","Female","Not applicable","Number","160055"
"Kazakhstan","1999","All genders","Not applicable","Number","326139"
"Kazakhstan","1998","All genders","Not applicable","Number","326498"
"Kazakhstan","1998","Female","Not applicable","Number","160248"
"Kazakhstan","1998","Male","Not applicable","Number","166250"
"Kazakhstan","1997","Male","Not applicable","Number","165125"
"Kazakhstan","1997","Female","Not applicable","Number","159233"
"Kazakhstan","1997","All genders","Not applicable","Number","324358"
"Kazakhstan","1996","All genders","Not applicable","Number","320854"
"Kazakhstan","1996","Female","Not applicable","Number","157617"
"Kazakhstan","1996","Male","Not applicable","Number","163237"
"Kazakhstan","1995","Female","Not applicable","Number","155601"
"Kazakhstan","1995","Male","Not applicable","Number","161114"
"Kazakhstan","1995","All genders","Not applicable","Number","316715"
"Kazakhstan","1994","All genders","Not applicable","Number","323772"
